# https://store.tmotor.com/product/mn801-s-kv120-motor-navigator-type.html
# Type: MN801S KV120
# Propeller: G29*9.5
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust,Torque,Moment Constant [m]
1900,3662,1.25,35.9119523,1.25,0.034807353
1956,3880,1.31,38.049802,1.31,0.034428563
2054,4154,1.4,40.7368241,1.4,0.03436694
2130,4397,1.48,43.11984005,1.48,0.034322947
2208,4694,1.57,46.0324151,1.57,0.034106401
2293,4976,1.66,48.7978904,1.66,0.034017864
2376,5284,1.75,51.8183386,1.75,0.033771828
2451,5557,1.84,54.49555405,1.84,0.033764222
2530,5891,1.94,57.77097515,1.94,0.033580877
2610,6247,2.05,61.26214255,2.05,0.033462754
2684,6596,2.15,64.6846634,2.15,0.033238172
2777,6930,2.26,67.9600845,2.26,0.033254814
2854,7205,2.35,70.65691325,2.35,0.033259307
2930,7515,2.45,73.69697475,2.45,0.033244241
3108,7796,2.55,76.4526434,2.55,0.033353981
3178,8277,2.7,81.16964205,2.7,0.033263668
3372,9108,2.94,89.3189682,2.94,0.032915741
3437,9793,3.19,96.03652345,3.19,0.033216529
# 3774,10426,3.73,102.2441329,3.73,0.036481311
# 4045,11683,4.16,114.571092,4.16,0.036309334
