# https://store.tmotor.com/product/mn705-s-kv125-motor-navigator-type.html
# Type: MN705S KV125
# Propeller: G27*8.8
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust,Torque,Moment Constant [m]
2238,2639,0.97,25.87974935,0.97,0.037481043
2326,2871,1.03,28.15489215,1.03,0.03658334
2400,2980,1.09,29.223817,1.09,0.037298345
2466,3167,1.16,31.05766055,1.16,0.037349883
2512,3452,1.25,33.8525558,1.25,0.036924834
2644,3610,1.3,35.4020065,1.3,0.036721082
2746,3940,1.38,38.638201,1.38,0.035715949
2840,4224,1.46,41.4232896,1.46,0.035245873
2907,4401,1.54,43.15906665,1.54,0.035681958
2998,4700,1.63,46.091255,1.63,0.035364626
3059,4932,1.74,48.3663978,1.74,0.03597539
3119,5300,1.83,51.975245,1.83,0.035209069
3232,5502,1.91,53.9561883,1.91,0.035399091
3306,5788,2,56.7608902,2,0.035235529
3397,6106,2.08,59.8794049,2.08,0.034736484
3445,6275,2.18,61.53672875,2.18,0.035425998
3615,7066,2.42,69.2937889,2.42,0.034923765
3772,7710,2.65,75.6092715,2.65,0.035048612
4107,9247,3.08,90.68209255,3.08,0.03396481
4480,10977,3.53,107.6475971,3.53,0.032792186
