# https://store.tmotor.com/product/mn4010-kv475-motor-navigator-type.html
# Item No.: MN4010 KV475
# Voltage (V): 22.2
# Prop: T-MOTOR 12*4CF

Throttle [%],Voltage [V],Current [A],Thrust [g],RPM,Rotation Speed [rad/s],Thrust,Torque,Moment Constant [m]
50,22.2,4.5,770,5700,596.9026042,7.5465005,0.09046702,0.011987943
65,22.2,6.1,960,6500,680.6784083,9.408624,0.122633072,0.013034113
75,22.2,8.2,1180,7000,733.0382858,11.564767,0.164851015,0.01425459
85,22.2,10.6,1440,7800,816.8140899,14.112936,0.213100092,0.015099629
100,22.2,12.9,1680,8300,869.1739675,16.465092,0.259338791,0.015750826
